,cities,lat,lng,temp,humidity,cloudiness,windspeed
0,hobart,-42.88,147.33,69.8,43.0,0.0,14.99
2,bluff,-23.58,149.07,71.85,70.0,76.0,14.47
3,husavik,50.56,-96.99,-6.32,87.0,0.0,7.09
4,bambous virieux,-20.34,57.76,75.2,88.0,20.0,4.7
6,chapais,49.78,-74.86,23.0,85.0,90.0,8.05
8,avarua,-21.21,-159.78,82.4,58.0,40.0,8.05
9,namatanai,-3.66,152.44,83.91,100.0,36.0,3.18
10,cabo san lucas,22.89,-109.91,82.4,51.0,75.0,9.17
11,carnarvon,-30.97,22.13,65.46,21.0,92.0,11.56
12,butaritari,3.07,172.79,81.16,100.0,64.0,14.47
13,provideniya,64.42,-173.23,12.2,78.0,90.0,31.32
15,jamestown,-33.21,138.6,77.92,29.0,56.0,12.46
16,port elizabeth,39.31,-74.98,39.52,52.0,40.0,12.75
17,nouadhibou,20.93,-17.03,69.55,57.0,0.0,5.08
18,faanui,-16.48,-151.75,81.43,100.0,92.0,15.48
20,hithadhoo,-0.6,73.08,83.14,100.0,80.0,9.55
21,thayetmyo,19.32,95.18,70.86,86.0,92.0,2.62
22,tongren,27.72,109.18,36.61,97.0,92.0,8.66
23,esperance,10.24,-61.45,86.0,55.0,20.0,12.75
24,gamba,28.28,88.52,-7.58,51.0,0.0,6.53
25,hermanus,-34.42,19.24,61.5,66.0,92.0,9.78
26,dukat,42.44,22.31,16.5,74.0,0.0,2.06
27,mombetsu,44.35,143.35,28.87,100.0,56.0,2.62
28,hereford,52.06,-2.72,55.4,93.0,75.0,14.99
29,nikolskoye,59.7,30.79,33.8,97.0,75.0,6.71
30,new norfolk,-42.78,147.06,69.8,43.0,0.0,14.99
32,champerico,16.38,-93.6,86.0,42.0,20.0,2.39
33,vaini,15.34,74.49,66.58,91.0,56.0,2.51
35,grindavik,63.84,-22.43,40.24,80.0,75.0,18.34
36,hasaki,35.73,140.83,48.2,100.0,75.0,4.7
37,kruisfontein,-34.0,24.73,65.59,88.0,88.0,20.29
38,hilo,19.71,-155.08,75.92,58.0,20.0,4.7
39,chuy,-33.69,-53.46,63.79,77.0,44.0,20.29
40,tuktoyaktuk,69.44,-133.03,12.2,92.0,90.0,13.87
41,tasiilaq,65.61,-37.64,19.4,62.0,5.0,2.24
43,saldanha,41.42,-6.55,32.83,95.0,48.0,2.51
44,ushuaia,-54.81,-68.31,61.41,63.0,75.0,34.45
45,changde,29.04,111.68,38.32,100.0,100.0,16.49
46,albany,42.65,-73.75,34.0,47.0,75.0,13.87
47,atar,20.52,-13.05,73.2,18.0,0.0,9.1
48,itarema,-2.92,-39.92,77.47,95.0,76.0,2.51
49,changying,52.87,123.32,-17.84,49.0,24.0,8.21
50,east london,-33.02,27.91,72.43,100.0,20.0,9.22
51,bad berleburg,51.05,8.39,50.9,87.0,75.0,11.41
52,falam,22.91,93.68,51.64,95.0,48.0,0.38
53,castro,-42.48,-73.76,75.2,25.0,0.0,11.41
54,geraldton,49.72,-86.95,-0.41,59.0,40.0,8.05
56,qaanaaq,77.48,-69.36,7.5,100.0,76.0,2.62
57,luganville,-15.51,167.18,79.0,100.0,92.0,14.58
58,puerto ayora,-0.74,-90.35,80.6,57.0,75.0,19.46
59,caravelas,-17.73,-39.27,80.35,100.0,32.0,9.78
60,mataura,-46.19,168.86,60.01,66.0,8.0,4.97
61,atuona,-9.8,-139.03,81.3,99.0,44.0,19.84
62,leningradskiy,69.38,178.42,3.22,94.0,44.0,18.28
63,coquimbo,-29.95,-71.34,68.0,64.0,0.0,14.99
64,cape town,-33.93,18.42,64.4,82.0,75.0,6.93
65,kenai,60.55,-151.26,29.97,95.0,75.0,8.05
66,nouakchott,18.08,-15.98,86.0,11.0,0.0,8.05
67,thompson,55.74,-97.86,-2.21,77.0,90.0,8.05
68,hervey bay,-25.3,152.85,68.0,94.0,75.0,9.17
